station_name,complex_id,ridership_2012,ridership_2013,ridership_2014,ridership_2015,ridership_2016,ridership_2017
135 St,438,4477110,4672352,4932623,4949583,4867017,4768474
125 St,439,4635697,4917465,5103216,5121518,4989981,5054479
116 St,440,3584234,3715803,3845140,3948545,3874037,3729434
Central Park North-110 St,441,2808386,2932790,3110140,3188551,3147750,2963206
Eastchester-Dyre Av,442,1366077,1441375,1380334,1330123,1293411,1261041
Baychester Av,443,1161075,1234050,1186372,1137693,1112259,1054373
Gun Hill Rd,444,1757377,1792707,1716952,1639924,1619073,1555601
Pelham Pkwy,445,923188,919689,907735,894727,897374,869177
Morris Park,446,589170,631930,621945,629282,677899,685577
Flushing-Main St,447,19034789,19102434,19085948,19082391,19257879,18746832
Mets-Willets Point,448,1693024,1902121,1875472,2120859,2004343,1873789
111 St,449,3473313,3607926,3659225,3699843,3753756,3721445
103 St-Corona Plaza,450,6130376,6314870,6464627,6527196,6504644,6498237
Junction Blvd,451,6784942,6816700,6946966,7064435,7249912,7084849
90 St-Elmhurst Av,452,5428872,5513135,5480059,5489630,5471961,5460868
82 St-Jackson Hts,453,5013810,5139172,5172595,5128506,5089971,5018542
69 St,455,1647057,1671584,1685222,1629526,1643806,1602770
Woodside-61 St,456,5273308,5330760,5356621,5432682,5511564,5457171
52 St,457,2138307,2182725,2214115,2177884,2131770,2027659
46 St-Bliss St,458,4638262,4734334,4695672,4593351,4541003,4303987
40 St-Lowery St,459,3393418,3483507,3496675,3421569,3399567,3261769
33 St-Rawson St,460,3752701,3899003,3892589,3712153,3636632,3402610
Queensboro Plaza,461,3350219,3569290,3785260,3773168,4105500,4566287
Hunters Point Av,463,1704114,1710103,1791109,1848769,1994002,1999970
Vernon Blvd-Jackson Av,464,3357030,3726974,4169876,4462652,4877185,4821191
34 St-Hudson Yards,471,,,,692165,2691851,3098699
96 St,475,,,,,,5445960
86 St,476,,,,,,7693260
72 St,477,,,,,,8536209
14 St/6 Av,601,15487097,15844699,16215866,16121318,16118952,15187056
14 St-Union Sq,602,34639575,35309414,35677468,35320623,34289822,34557551
149 St-Grand Concourse,603,4104847,4427399,4536888,4424754,4381900,4255015
161 St-Yankee Stadium,604,8831015,8766012,8961029,8922188,8784407,8596506
168 St,605,7503282,7884456,8090476,8009233,8217661,7945871
Court Sq,606,5340581,6072768,6664442,6730837,6809217,7003218
34 St-Herald Square,607,37154138,38213448,39285568,39541865,39000352,39672507
4 Av/9 St,608,4300400,4210873,4120946,4199208,4138758,4323467
42 St-Bryant Pk/5 Av,609,14917245,15527439,15896805,16220605,16934142,16594289
Grand Central-42 St,610,42984249,44893301,46074652,46737564,46121509,44928488
Times Sq-42 St/42 St,611,62069437,63617614,65948730,66359208,64531511,64815739
Lexington Av-53 St/51 St,612,19280036,20262110,20513370,20479923,19929405,18940774
Lexington Av/59 St,613,20628942,21282767,21557198,21407792,21000635,17888188
59 St-Columbus Circle,614,21599586,22774421,23566961,23299666,23203443,22929203
New Utrecht Av/62 St,615,1931306,1654945,1716638,1857740,1784812,1651274
74-Bway/Jackson Hts-Roosevelt Av,616,16366669,16864938,17087795,17224537,17301839,17095073
Atlantic Av-Barclays Ctr,617,11526090,13122876,13617153,13690678,13818168,13571093
14 St/8 Av,618,13044037,13903211,14340856,14763727,14572075,14153266
Broadway-Lafayette St/Bleecker St,619,11792114,12560629,12913327,12666868,12405639,11956465
Court St/Borough Hall,620,10988473,11291705,11474717,11360058,11080334,10693598
Broadway Junction,621,2862830,2948156,3018656,3133658,3085401,2911532
Brooklyn Bridge-City Hall/Chambers St,622,10650508,10721984,10938927,10481576,10059080,9360484
Canal St,623,15529659,15227139,15104077,15094135,15274896,16285516
Chambers St/WTC/Park Place,624,15364366,15641210,16088983,16910084,16079624,14825863
Delancey St/Essex St,625,7280936,7759914,7909365,8226975,8458101,8128719
Franklin Av/Botanic Garden,626,4934593,5125782,5377967,5100038,5010984,4762184
Franklin Av,627,1982691,2049246,2125076,2137752,2056281,2058258
Fulton St,628,17868334,18721694,20102397,21671684,25162937,26838473
Lorimer St/Metropolitan Av,629,4643512,5040719,5090344,5238736,5156893,5010601
Myrtle-Wyckoff Avs,630,5662633,5982615,6381800,6464630,6531453,7302376
South Ferry/Whitehall St,635,8123655,6192660,7116897,8750364,9009136,10205836
Jay St-MetroTech,636,11492780,11793956,12197352,12765132,13091255,13007176
